# ET,Lab,Satellite,Customer ID,ET Date,ET Location (recipient farm),Recipient ID,Recipient ID,Cow/Heifer,Heat,CL Side,CL measure (mm),Protocol,Fresh or Frozen,# Cane if Frozen,Freezing date,ET Tech,ET assistant,BCScore,Embryo Stage 4-8,Embryo Grade,Heat,Heat day,1st PC date,1st PC Result,2nd PC date,2nd PC Result,Fetal Sexing,OPU Date,Donor,Donor Breed,Donor BW EPD,SIRE Name,SIRE BW EPD,Semen type,SIRE Breed,CLIENT ,DIP,DIP
264,DZF,DZF,DZF,11/14/2025,DZF,285,Local crossbred,Cow,.,Right,13.25,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,5,1,,7,12/12/2025,Open,,,,11/6/2025,608,Grey Brahman,1.9,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
265,DZF,DZF,DZF,11/14/2025,DZF,289,Local crossbred,Cow,.,Left,15,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,12/12/2025,Open,,,,11/6/2025,608,Grey Brahman,1.9,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
266,DZF,DZF,DZF,11/14/2025,DZF,291,Local crossbred,Cow,.,Left,12.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,12/12/2025,Open,,,,11/6/2025,85M,Angus,-6.1,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,
267,DZF,DZF,DZF,11/14/2025,DZF,156,Local crossbred,Cow,.,Right,14,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,6,1,,7,12/12/2025,Open,,,,11/5/2025,984,Grey Brahman,2.2,SM007,.,Conventional,Beef Crossbred,,,
268,DZF,DZF,DZF,11/14/2025,DZF,249,Local crossbred,Cow,.,Left,9,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,7,1,,7,12/12/2025,Open,,,,11/5/2025,984,Grey Brahman,2.2,SM007,.,Conventional,Beef Crossbred,,,
269,DZF,DZF,DZF,11/14/2025,DZF,284,Local crossbred,Cow,.,Left,10,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,6,1,,7,12/12/2025,Open,,,,11/5/2025,991,Grey Brahman,2.1,SM007,.,Conventional,Beef Crossbred,,,
270,DZF,DZF,DZF,11/14/2025,DZF,293,Local crossbred,Cow,.,Left,12,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,6,1,,7,12/12/2025,Open,,,,11/5/2025,402,Grey Brahman,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
271,DZF,DZF,DZF,11/14/2025,DZF,294,Local crossbred,Cow,.,Right,19,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,4,1,,7,12/12/2025,Open,,,,11/6/2025,D3,Nukra,.,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,,,
272,DZF,DZF,DZF,11/14/2025,DZF,295,Local crossbred,Cow,.,Left,13,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,6,1,,7,12/12/2025,Open,,,,11/5/2025,2/4,Red Brahman,2.8,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
273,DZF,DZF,DZF,11/14/2025,DZF,296,Local crossbred,Cow,.,Left,13,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,6,1,,7,12/12/2025,Open,,,,11/5/2025,984,Grey Brahman,2.2,SM007,.,Conventional,Beef Crossbred,,,
274,DZF,DZF,DZF,11/14/2025,DZF,297,Local crossbred,Cow,.,Right,10,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,7,1,,7,12/12/2025,Open,,,,11/5/2025,BrafordBBQ,Braford,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
275,DZF,DZF,DZF,11/14/2025,DZF,298,Local crossbred,Cow,.,Right,9,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,5,1,,7,12/12/2025,Open,,,,11/6/2025,D3,Nukra,.,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,,,
276,DZF,DZF,DZF,11/14/2025,DZF,299,Local crossbred,Cow,.,Right,14,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,6,1,,7,12/12/2025,Pregnant,,,,11/5/2025,984,Grey Brahman,2.2,SM007,.,Conventional,Beef Crossbred,,,96
277,DZF,DZF,DZF,11/14/2025,DZF,302,Local crossbred,Cow,.,Left,17,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,6,1,,7,12/12/2025,Pregnant,,,,11/5/2025,2/4,Red Brahman,2.8,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,96
278,DZF,DZF,DZF,11/14/2025,DZF,329,Local crossbred,Cow,.,Left,13,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,7,1,,7,12/12/2025,Pregnant,,,,11/5/2025,609,Grey Brahman,2.3,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,96
279,DZF,DZF,DZF,11/14/2025,DZF,343,Local crossbred,Cow,.,Left,17,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,6,1,,7,12/12/2025,Pregnant,,,,11/5/2025,747,Grey Brahman,1.6,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,96
280,DZF,DZF,DZF,11/14/2025,DZF,344,Local crossbred,Cow,.,Right,10,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,6,1,,7,12/12/2025,Open,,,,11/5/2025,2/4,Red Brahman,2.8,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
281,DZF,DZF,DZF,11/14/2025,DZF,348,Local crossbred,Cow,.,Right,15.5,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,6,1,,7,12/12/2025,Open,,,,11/5/2025,984,Grey Brahman,2.2,SM007,.,Conventional,Beef Crossbred,,,
282,DZF,DZF,DZF,11/14/2025,DZF,349,Local crossbred,Cow,.,Left,10,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,7,1,,7,12/12/2025,Pregnant,,,,11/5/2025,609,Grey Brahman,2.3,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,96
283,DZF,DZF,DZF,11/14/2025,DZF,351,Local crossbred,Cow,.,Left,9,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,6,1,,7,12/12/2025,Open,,,,11/5/2025,991,Grey Brahman,2.1,SM007,.,Conventional,Beef Crossbred,,,
284,DZF,DZF,DZF,11/14/2025,DZF,353,Local crossbred,Cow,.,Left,13,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,6,1,,7,12/12/2025,Open,,,,11/5/2025,984,Grey Brahman,2.2,SM007,.,Conventional,Beef Crossbred,,,
285,DZF,DZF,DZF,11/14/2025,DZF,357,Local crossbred,Cow,.,Left,10,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,7,1,,7,12/12/2025,Open,,,,11/5/2025,2/4,Red Brahman,2.8,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
286,DZF,DZF,DZF,11/14/2025,DZF,358,Local crossbred,Cow,.,Left,13,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,7,1,,7,12/12/2025,Open,,,,11/5/2025,2/4,Red Brahman,2.8,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
287,DZF,DZF,DZF,11/14/2025,DZF,361,Local crossbred,Cow,.,Left,8,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,6,1,,7,12/12/2025,Open,,,,11/5/2025,609,Grey Brahman,2.3,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
288,DZF,DZF,DZF,11/14/2025,DZF,362,Local crossbred,Cow,.,Right,11.5,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,7,1,,7,12/12/2025,Pregnant,,,,11/5/2025,402,Grey Brahman,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,96
289,DZF,DZF,DZF,11/14/2025,DZF,363,Local crossbred,Cow,.,Right,10,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,7,1,,7,12/12/2025,Open,,,,11/5/2025,BrafordBBQ,Braford,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
290,DZF,DZF,DZF,11/14/2025,DZF,366,Local crossbred,Cow,.,Right,9,CIDR+GnRH+PGF+GnRH,Frozen,.,11/13/2025,Ruben,Javeria,,6,1,,7,12/12/2025,Open,,,,11/5/2025,2/4,Red Brahman,2.8,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
291,DZF,DZF,Maidan Cattle (Karachi),11/27/2025,Maidan Cattle (Karachi),39,Local crossbred,Cow,.,Left,21,CIDR+GnRH+PGF+GnRH,Frozen,.,11/15/2025,Ruben,Umer,,6,1,,7,,Pregnant,,,,11/7/2025,257,Grey Brahman,1.6,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
292,DZF,DZF,Maidan Cattle (Karachi),11/27/2025,Maidan Cattle (Karachi),HF No Tag,Local crossbred,Cow,.,Left,22,CIDR+GnRH+PGF+GnRH,Frozen,.,11/15/2025,Ruben,Umer,,7,1,,7,,Open,,,,11/7/2025,257,Grey Brahman,1.6,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
293,DZF,DZF,Maidan Cattle (Karachi),11/27/2025,Maidan Cattle (Karachi),HF Black,Local crossbred,Cow,.,Left,20,CIDR+GnRH+PGF+GnRH,Frozen,.,11/15/2025,Ruben,Umer,,7,1,,7,,Open,,,,11/7/2025,257,Grey Brahman,1.6,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
294,DZF,DZF,Maidan Cattle (Karachi),11/27/2025,Maidan Cattle (Karachi),Cholistani,Local crossbred,Cow,.,Right,17,CIDR+GnRH+PGF+GnRH,Frozen,.,11/15/2025,Ruben,Umer,,7,1,,7,,Pregnant,,,,11/7/2025,248,Grey Brahman,1.4,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
295,DZF,DZF,Maidan Cattle (Karachi),11/27/2025,Maidan Cattle (Karachi),Sahiwal,Local crossbred,Cow,.,Left,14,CIDR+GnRH+PGF+GnRH,Frozen,.,11/15/2025,Ruben,Umer,,7,1,,7,,Open,,,,11/7/2025,248,Grey Brahman,1.4,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
296,DZF,DZF,Model Cattle (Karachi),11/27/2025,Model Cattle (Karachi),25/1,Local crossbred,Cow,.,Left,17.5,CIDR+GnRH+PGF+GnRH,Frozen,.,11/26/2025,Ruben,Umer,,7,1,,7,,Open,,,,11/18/2025,18/2,Beef crossbred,.,Modesto 209,.,Conventional,,,,
297,DZF,DZF,Model Cattle (Karachi),11/27/2025,Model Cattle (Karachi),17/1,Local crossbred,Cow,.,Right,17,CIDR+GnRH+PGF+GnRH,Frozen,.,11/26/2025,Ruben,Umer,,7,1,,7,,Open,,,,11/18/2025,18/2,Beef crossbred,.,Modesto 209,.,Conventional,,,,
298,DZF,DZF,Model Cattle (Karachi),11/27/2025,Model Cattle (Karachi),49,Local crossbred,Cow,.,Right,21,CIDR+GnRH+PGF+GnRH,Frozen,.,11/26/2025,Ruben,Umer,,7,1,,7,,Open,,,,11/18/2025,3012,Beef crossbred,.,Modesto 209,.,Conventional,,,,
299,DZF,DZF,Model Cattle (Karachi),11/27/2025,Model Cattle (Karachi),46,Local crossbred,Cow,.,Right,21.5,CIDR+GnRH+PGF+GnRH,Frozen,.,11/26/2025,Ruben,Umer,,7,1,,7,,Open,,,,11/18/2025,18/2,Beef crossbred,.,Modesto 209,.,Conventional,,,,
300,DZF,DZF,Model Cattle (Karachi),11/27/2025,Model Cattle (Karachi),24/1,Local crossbred,Cow,.,Right,19.5,CIDR+GnRH+PGF+GnRH,Frozen,.,11/26/2025,Ruben,Umer,,7,1,,7,,Open,,,,11/18/2025,18/2,Beef crossbred,.,Modesto 209,.,Conventional,,,,
301,DZF,DZF,Model Cattle (Karachi),11/27/2025,Model Cattle (Karachi),32/2,Local crossbred,Cow,.,Right,13.5,CIDR+GnRH+PGF+GnRH,Frozen,.,11/26/2025,Ruben,Umer,,7,1,,7,,Open,,,,11/18/2025,18/2,Beef crossbred,.,Modesto 209,.,Conventional,,,,
302,DZF,DZF,Model Cattle (Karachi),11/27/2025,Model Cattle (Karachi),22/1,Local crossbred,Cow,.,Left,15,CIDR+GnRH+PGF+GnRH,Frozen,.,11/26/2025,Ruben,Umer,,6,1,,7,,Pregnant,,,,11/18/2025,18/2,Beef crossbred,.,Modesto 209,.,Conventional,,,,
303,DZF,DZF,Model Cattle (Karachi),11/27/2025,Model Cattle (Karachi),58,Local crossbred,Cow,.,Left,14.5,CIDR+GnRH+PGF+GnRH,Frozen,.,11/26/2025,Ruben,Umer,,6,1,,7,,Open,,,,11/18/2025,18/2,Beef crossbred,.,Modesto 209,.,Conventional,,,,
304,DZF,DZF,DZF,11/30/2025,DZF,276,Local crossbred,Cow,.,Right,13.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,6,1/3/2026,Pregnant,,,,11/23/2025,909,Grey Brahman,2.1,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,80
305,DZF,DZF,DZF,11/30/2025,DZF,279,Local crossbred,Cow,.,Right,12,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,6,1/3/2026,Open,,,,11/23/2025,909,Grey Brahman,2.1,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,
306,DZF,DZF,DZF,11/30/2025,DZF,290,Local crossbred,Cow,.,Right,15,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,6,1/3/2026,Open,,,,11/23/2025,909,Grey Brahman,2.1,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,
307,DZF,DZF,DZF,11/30/2025,DZF,32165,Local crossbred,Cow,.,Right,15,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,6,1/3/2026,Pregnant,,,,11/23/2025,909,Grey Brahman,2.1,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,80
308,DZF,DZF,DZF,11/30/2025,DZF,80,Local crossbred,Cow,.,Left,13,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,6,1/3/2026,Open,,,,11/23/2025,909,Grey Brahman,2.1,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,
309,DZF,DZF,DZF,11/30/2025,DZF,82,Local crossbred,Cow,.,Right,17,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,6,1/3/2026,Pregnant,,,,11/23/2025,909,Grey Brahman,2.1,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,80
310,DZF,DZF,DZF,11/30/2025,DZF,86,Local crossbred,Cow,.,Left,13,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,6,1/3/2026,Open,,,,11/23/2025,909,Grey Brahman,2.1,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,
311,DZF,DZF,DZF,11/30/2025,DZF,180,Local crossbred,Cow,.,Left,13.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,6,1/3/2026,Pregnant,,,,11/23/2025,909,Grey Brahman,2.1,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,80
312,DZF,DZF,DZF,11/30/2025,DZF,203,Local crossbred,Cow,.,Right,10,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,6,1/3/2026,Open,,,,11/23/2025,909,Grey Brahman,2.1,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,
313,DZF,DZF,DZF,11/30/2025,DZF,326,Local crossbred,Cow,.,left,11,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,6,1/3/2026,Pregnant,,,,11/23/2025,909,Grey Brahman,2.1,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,80
314,DZF,DZF,DZF,12/1/2025,DZF,224,Local crossbred,Cow,.,Right,11,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,6,1,,7,1/4/2026,Open,,,,11/23/2025,204,Red Brahman,3.7,VL Rojo Whiskey 1/48,.,Conventional,Red Brahman,,,
315,DZF,DZF,DZF,12/1/2025,DZF,263,Local crossbred,Cow,.,Right,13,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,6,1,,7,1/4/2026,Pregnant,,,,11/23/2025,909,Grey Brahman,2.1,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,79
316,DZF,DZF,DZF,12/1/2025,DZF,269,Local crossbred,Cow,.,Right,15,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,1/4/2026,Pregnant,,,,11/23/2025,602,Grey Brahman,2.5,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,79
317,DZF,DZF,DZF,12/1/2025,DZF,364,Local crossbred,Cow,.,Right,16,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,6,1,,7,1/4/2026,Pregnant,,,,11/23/2025,2/4,Red Brahman,2.8,VL Rojo Whiskey 1/48,.,Conventional,Red Brahman,,,79
318,DZF,DZF,DZF,12/1/2025,DZF,88,Local crossbred,Cow,.,Right,12,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,1/4/2026,Open,,,,11/23/2025,984,Grey Brahman,2.2,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,
319,DZF,DZF,DZF,12/1/2025,DZF,60,Local crossbred,Cow,.,Left,15,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,1/4/2026,Pregnant,,,,11/23/2025,991,Grey Brahman,2.1,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,79
320,DZF,DZF,DZF,12/1/2025,DZF,106,Local crossbred,Cow,.,Right,13,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,6,1,,7,1/4/2026,Pregnant,,,,11/23/2025,2/4,Red Brahman,2.8,VL Rojo Whiskey 1/48,.,Conventional,Red Brahman,,,79
321,DZF,DZF,DZF,12/1/2025,DZF,124,Local crossbred,Cow,.,Left,12,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,1/4/2026,Open,,,,11/23/2025,600,Grey Brahman,1.6,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,
322,DZF,DZF,DZF,12/1/2025,DZF,304,Local crossbred,Cow,.,Left,13,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,6,1,,7,1/4/2026,Pregnant,,,,11/23/2025,984,Grey Brahman,2.2,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,79
323,DZF,DZF,DZF,12/1/2025,DZF,308,Local crossbred,Cow,.,Left,18,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,1/4/2026,Pregnant,,,,11/23/2025,3/4,Red Brahman,2.3,VL Rojo Whiskey 1/48,.,Conventional,Red Brahman,,,79
324,DZF,DZF,DZF,12/1/2025,DZF,314,Local crossbred,Cow,.,Left,13,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,6,1,,7,1/4/2026,Open,,,,11/23/2025,602,Grey Brahman,2.5,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,
325,DZF,DZF,DZF,12/1/2025,DZF,315,Local crossbred,Cow,.,Left,15,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,6,1,,7,1/4/2026,Open,,,,11/23/2025,2/4,Red Brahman,2.8,VL Rojo Whiskey 1/48,.,Conventional,Red Brahman,,,
326,DZF,DZF,DZF,12/1/2025,DZF,317,Local crossbred,Cow,.,Right,18,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,1/4/2026,Open,,,,11/23/2025,2/4,Red Brahman,2.8,VL Rojo Whiskey 1/48,.,Conventional,Red Brahman,,,
327,DZF,DZF,DZF,12/1/2025,DZF,321,Local crossbred,Cow,.,Left,13.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,8,1,,7,1/4/2026,Open,,,,11/23/2025,984,Grey Brahman,2.2,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,
328,DZF,DZF,DZF,12/1/2025,DZF,325,Local crossbred,Cow,.,Left,13,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,1/4/2026,Open,,,,11/23/2025,909,Grey Brahman,2.1,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,
329,DZF,DZF,DZF,12/1/2025,DZF,333,Local crossbred,Cow,.,Right,12,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,8,1,,7,1/4/2026,Open,,,,11/23/2025,984,Grey Brahman,2.2,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,
330,DZF,DZF,DZF,12/1/2025,DZF,336,Local crossbred,Cow,.,Left,12,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,1/4/2026,Pregnant,,,,11/23/2025,984,Grey Brahman,2.2,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,79
331,DZF,DZF,DZF,12/1/2025,DZF,338,Local crossbred,Cow,.,Right,16,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,6,1,,7,1/4/2026,Pregnant,,,,11/23/2025,2/4,Red Brahman,2.8,VL Rojo Whiskey 1/48,.,Conventional,Red Brahman,,,79
332,DZF,DZF,DZF,12/1/2025,DZF,340,Local crossbred,Cow,.,Left,12.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,6,1,,7,1/4/2026,Open,,,,11/23/2025,600,Grey Brahman,1.6,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Grey Brahman,,,
333,DZF,DZF,DZF,12/3/2025,DZF,31773,Local crossbred,Cow,.,Right,13,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Talal,,7,1,,7,1/6/2026,Open,,,,11/25/2025,BrafordBBQ,Braford,.,BRC Dutton 376/8,1.7,Conventional,,,,
334,DZF,DZF,DZF,12/3/2025,DZF,31799,Local crossbred,Cow,.,Left,15,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Talal,,7,1,,7,1/6/2026,Open,,,,11/25/2025,BrafordBBQ,Braford,.,BRC Dutton 376/8,1.7,Conventional,,,,
335,DZF,DZF,DZF,12/3/2025,DZF,31903,Local crossbred,Cow,.,Left,13,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Talal,,7,1,,7,1/6/2026,Pregnant,,,,11/25/2025,BrafordBBQ,Braford,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,77
336,DZF,DZF,DZF,12/3/2025,DZF,31964,Local crossbred,Cow,.,Right,14.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Talal,,7,1,,7,1/6/2026,Pregnant,,,,11/25/2025,BrafordBBQ,Braford,.,BRC Dutton 376/8,1.7,Conventional,,,,77
337,DZF,DZF,DZF,12/3/2025,DZF,32057,Local crossbred,Cow,.,Right,15.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Talal,,7,1,,7,1/6/2026,Pregnant,,,,11/25/2025,D2,Nukra,.,BRC Dutton 376/8,1.7,Conventional,,Dawood,-77,77
338,DZF,DZF,DZF,12/3/2025,DZF,32083,Local crossbred,Cow,.,Left,11,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Talal,,7,1,,7,1/6/2026,Open,,,,11/25/2025,BrafordBBQ,Braford,.,BRC Dutton 376/8,1.7,Conventional,,,,
339,DZF,DZF,DZF,12/3/2025,DZF,32143,Local crossbred,Cow,.,Left,11,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Talal,,7,1,,7,1/6/2026,Open,,,,11/25/2025,BrafordBBQ,Braford,.,BRC Dutton 376/8,1.7,Conventional,,,,
340,DZF,DZF,DZF,12/3/2025,DZF,32293,Local crossbred,Cow,.,Left,14,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Talal,,7,1,,7,1/6/2026,Pregnant,,,,11/25/2025,D2,Nukra,.,BRC Dutton 376/8,1.7,Conventional,,Dawood,-77,77
341,DZF,DZF,DZF,12/3/2025,DZF,32385,Local crossbred,Cow,.,Left,10.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Talal,,7,1,,7,1/6/2026,Open,,,,11/25/2025,BrafordBBQ,Braford,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
342,DZF,DZF,DZF,12/3/2025,DZF,32386,Local crossbred,Cow,.,Left,15,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Talal,,7,1,,7,1/6/2026,Pregnant,,,,11/25/2025,D2,Nukra,.,BRC Dutton 376/8,1.7,Conventional,,Dawood,-77,77
343,DZF,DZF,DZF,12/3/2025,DZF,32390,Local crossbred,Cow,.,Left,11.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Talal,,7,1,,7,1/6/2026,Open,,,,11/25/2025,D2,Nukra,.,BRC Dutton 376/8,1.7,Conventional,,,,
344,DZF,DZF,DZF,12/3/2025,DZF,32839,Local crossbred,Cow,.,Right,14,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Talal,,7,1,,7,1/6/2026,Open,,,,11/25/2025,D2,Nukra,.,BRC Dutton 376/8,1.7,Conventional,,,,
345,DZF,DZF,DZF,12/3/2025,DZF,33159,Local crossbred,Cow,.,Right,17,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Talal,,7,1,,7,1/6/2026,Open,,,,11/25/2025,BrafordBBQ,Braford,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
346,DZF,DZF,DZF,12/3/2025,DZF,67,Local crossbred,Cow,.,Right,11,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Talal,,7,1,,7,1/6/2026,Pregnant,,,,11/25/2025,BrafordBBQ,Braford,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,77
347,DZF,DZF,DZF,12/3/2025,DZF,102,Local crossbred,Cow,.,Left,10,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Talal,,7,1,,7,1/6/2026,Open,,,,11/25/2025,BrafordBBQ,Braford,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
348,DZF,DZF,DZF,12/3/2025,DZF,116,Local crossbred,Cow,.,Left,11,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Talal,,7,1,,7,1/6/2026,Open,,,,11/25/2025,BrafordBBQ,Braford,.,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
