# ET,Lab,Satellite,Customer ID,ET Date,ET Location (recipient farm),Recipient ID,Recipient ID,Cow/Heifer,Heat,CL Side,CL measure (mm),Protocol,Fresh or Frozen,# Cane if Frozen,Freezing date,ET Tech,ET assistant,BCScore,Embryo Stage 4-8,Embryo Grade,Heat,Heat day,1st PC date,1st PC Result,2nd PC date,2nd PC Result,Fetal Sexing,OPU Date,Donor,Donor Breed,Donor BW EPD,SIRE Name,SIRE BW EPD,Semen type,SIRE Breed,CLIENT ,DIP,DIP
57,DZF,DZF,DZF,9/12/2025,DZF,61,Local crossbred,Cow,.,Right,18,CIDR+GnRH+PGF+GnRH,Fresh,.,,Masroor,Hamid,,"7,8",1,,7,,Open,,,,9/4/2025,D1,Nukra,,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
58,DZF,DZF,DZF,9/12/2025,DZF,67,Local crossbred,Cow,.,Right,14.4,CIDR+GnRH+PGF+GnRH,Frozen,.,,Masroor,Hamid,,8,1,,7,,Open,,,,8/30/2025,909,Grey Brahman,2.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
59,DZF,DZF,DZF,9/12/2025,DZF,64,Local crossbred,Cow,.,Left,14.8,CIDR+GnRH+PGF+GnRH,Fresh,.,,Masroor,Hamid,,8,1,,7,,Open,,,,9/4/2025,D2,Nukra,,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
60,DZF,DZF,DZF,9/12/2025,DZF,70,Local crossbred,Cow,.,Right,19.4,CIDR+GnRH+PGF+GnRH,Frozen,.,,Masroor,Hamid,,7,1,,7,,Open,,,,8/30/2025,909,Grey Brahman,2.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
61,DZF,DZF,DZF,9/12/2025,DZF,59,Local crossbred,Cow,.,Right,16,CIDR+GnRH+PGF+GnRH,Frozen,.,,Masroor,Hamid,,7,1,,7,,Open,,,,8/30/2025,909,Grey Brahman,2.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
62,DZF,DZF,DZF,9/12/2025,DZF,71,Local crossbred,Cow,.,Right,15,CIDR+GnRH+PGF+GnRH,Frozen,.,,Masroor,Hamid,,7,1,,7,,Open,,,,8/30/2025,909,Grey Brahman,2.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
63,DZF,DZF,DZF,9/12/2025,DZF,R6,Local crossbred,Cow,.,Right,15,CIDR+GnRH+PGF+GnRH,Frozen,.,,Masroor,Hamid,,"7,7",1,,7,,Open,,,,6/12/2025,D2,Nukra,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
64,DZF,DZF,DZF,9/27/2025,DZF,DZ 88,Local crossbred,Cow,.,Right,17.2,Natural heat,Fresh,.,,Masroor,Hamid,,7,1,,7,,Open,,,,09/18/2025,2/4,Red Brahman,2.8,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
65,DZF,DZF,DZF,9/27/2025,DZF,DZ 81,Local crossbred,Cow,.,Left,16.5,Natural heat,Fresh,.,,Masroor,Hamid,,7,1,,7,,Pregnant,,,,09/18/2025,612,Grey Brahman,2.2,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,144
66,DZF,DZF,DZF,9/27/2025,DZF,32210,Local crossbred,Cow,.,Right,15,Natural heat,Fresh,.,,Masroor,Hamid,,7,1,,7,,Open,,,,09/18/2025,2/4,Red Brahman,2.8,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
67,DZF,DZF,DZF,9/27/2025,DZF,31645,Local crossbred,Cow,.,Right,15.6,Natural heat,Fresh,.,,Masroor,Hamid,,7,1,,7,,Open,,,,09/18/2025,2/4,Red Brahman,2.8,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
68,DZF,DZF,DZF,10/1/2025,DZF,DZ 42,Local crossbred,Cow,.,Right,16.7,Natural heat,Frozen,.,,Hamid,Hamid,,7,1,,7,,Open,,,,7/26/2025,609,Grey Brahman,2.3,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
69,DZF,DZF,DZF,10/1/2025,DZF,DZ 13,Local crossbred,Cow,.,Right,17.2,Natural heat,Frozen,.,,Hamid,Hamid,,7,1,,7,,Open,,,,7/7/2025,602,Grey Brahman,2.5,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
70,DZF,DZF,DZF,10/1/2025,DZF,DZ 10,Local crossbred,Cow,.,Left,17,Natural heat,Frozen,.,,Hamid,Hamid,,7,1,,7,,Open,,,,7/6/2025,991,Grey Brahman,2.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
71,DZF,DZF,DZF,10/1/2025,DZF,DZ 22,Local crossbred,Cow,.,Right,15.7,Natural heat,Frozen,.,,Hamid,Hamid,,7,1,,7,,Open,,,,7/24/2025,991,Grey Brahman,2.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
72,DZF,DZF,DZF,10/26/2025,DZF,165,Local crossbred,Cow,.,Left,10,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Masroor,,7,1,,7,,Open,,,,10/18/2025,609,Grey Brahman,2.3,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
73,DZF,DZF,DZF,10/26/2025,DZF,166,Local crossbred,Cow,Yes,Left,21.2,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,8,1,,7,,Open,,,,10/18/2025,609,Grey Brahman,2.3,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
74,DZF,DZF,DZF,10/26/2025,DZF,133,Local crossbred,Cow,.,Right,15.1,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Masroor,,6,1,,7,,Open,,,,10/18/2025,827,Red Brahman,3.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
75,DZF,DZF,DZF,10/26/2025,DZF,132,Local crossbred,Cow,Yes,Right,22,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,6,1,,7,,Open,,,,10/18/2025,909,Grey Brahman,2.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
76,DZF,DZF,DZF,10/26/2025,DZF,162,Local crossbred,Cow,Yes,Right,14,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7,1,,7,,Open,,,,10/18/2025,612,Grey Brahman,2.2,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
